               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.016845,           0.0039165,           0.0033911,             0.99707,             0.99882,             0.99424,             0.89232,            0.008939,           0.0057519,           0.0032612,           0.0085878,           0.0085878,           0.0085878
                  86,            0.016727,           0.0039147,           0.0033242,              0.9971,             0.99882,             0.99428,              0.8937,           0.0089115,           0.0057217,           0.0032042,           0.0085729,           0.0085729,           0.0085729
                  87,            0.016765,           0.0039021,           0.0033385,             0.99722,             0.99842,             0.99429,             0.89562,           0.0086548,           0.0057177,            0.003219,            0.008558,            0.008558,            0.008558
                  88,             0.01676,           0.0038598,            0.003309,               0.997,             0.99864,             0.99429,             0.89724,           0.0087011,           0.0056783,           0.0032132,           0.0085431,           0.0085431,           0.0085431
                  89,            0.016779,           0.0039119,           0.0033625,             0.99717,             0.99882,              0.9943,             0.89904,           0.0085916,           0.0056244,           0.0032084,           0.0085282,           0.0085282,           0.0085282
                  90,            0.016821,           0.0038918,           0.0033095,             0.99691,             0.99882,             0.99427,             0.89995,           0.0084972,           0.0056598,           0.0031943,           0.0085133,           0.0085133,           0.0085133
                  91,            0.016559,           0.0038484,           0.0032559,             0.99719,             0.99856,             0.99426,             0.89989,           0.0085363,           0.0056078,           0.0031362,           0.0084984,           0.0084984,           0.0084984
                  92,            0.016715,           0.0038857,           0.0033237,             0.99738,             0.99824,             0.99424,             0.89961,            0.008412,           0.0056005,           0.0031466,           0.0084835,           0.0084835,           0.0084835
                  93,            0.016959,           0.0039152,           0.0035584,             0.99746,             0.99869,             0.99428,                 0.9,           0.0084797,           0.0056208,           0.0031281,           0.0084686,           0.0084686,           0.0084686
                  94,            0.016805,           0.0039222,           0.0032629,              0.9973,             0.99882,             0.99428,             0.89919,           0.0085322,           0.0057269,           0.0031072,           0.0084537,           0.0084537,           0.0084537
                  95,            0.016538,            0.003897,           0.0031973,              0.9974,             0.99874,             0.99429,              0.9012,           0.0083377,           0.0055997,           0.0030732,           0.0084388,           0.0084388,           0.0084388
                  96,            0.016419,           0.0038325,           0.0032051,             0.99732,             0.99867,             0.99429,             0.90465,           0.0082392,           0.0055649,           0.0030841,           0.0084239,           0.0084239,           0.0084239
                  97,            0.016345,           0.0038499,           0.0031686,             0.99724,             0.99856,             0.99431,             0.90699,            0.008159,             0.00551,           0.0030586,           0.0084089,           0.0084089,           0.0084089
                  98,            0.016499,           0.0038125,           0.0032008,             0.99747,             0.99879,             0.99428,             0.90785,           0.0080917,           0.0054777,           0.0030776,            0.008394,            0.008394,            0.008394
                  99,            0.016012,            0.003787,           0.0031055,             0.99735,             0.99882,             0.99429,             0.90952,           0.0080203,            0.005431,           0.0029967,           0.0083791,           0.0083791,           0.0083791
                 100,             0.01633,           0.0038032,           0.0031398,             0.99728,              0.9988,             0.99429,               0.908,           0.0079994,           0.0053977,           0.0030062,           0.0083642,           0.0083642,           0.0083642
                 101,            0.016174,           0.0037658,           0.0031134,             0.99735,             0.99878,             0.99429,             0.91047,           0.0078638,           0.0053646,           0.0029835,           0.0083493,           0.0083493,           0.0083493
                 102,            0.016235,           0.0037888,           0.0031279,             0.99747,              0.9988,             0.99428,               0.912,           0.0078349,           0.0053425,            0.003012,           0.0083344,           0.0083344,           0.0083344
                 103,            0.015835,           0.0036743,           0.0030761,             0.99733,             0.99877,             0.99429,             0.91261,           0.0077602,           0.0053018,           0.0029848,           0.0083195,           0.0083195,           0.0083195
                 104,            0.016054,           0.0037347,           0.0030837,              0.9974,             0.99873,              0.9943,             0.91312,           0.0077407,           0.0052818,           0.0029673,           0.0083046,           0.0083046,           0.0083046
                 105,            0.016072,           0.0037575,           0.0030838,              0.9975,             0.99866,             0.99431,              0.9122,            0.007748,           0.0052897,           0.0029772,           0.0082897,           0.0082897,           0.0082897
                 106,            0.016019,           0.0037444,           0.0030342,             0.99758,             0.99875,             0.99432,             0.91373,           0.0076676,           0.0052577,           0.0029563,           0.0082748,           0.0082748,           0.0082748
                 107,            0.015999,           0.0037507,           0.0030796,             0.99746,             0.99886,             0.99432,             0.91538,           0.0076369,           0.0052563,           0.0029682,           0.0082599,           0.0082599,           0.0082599
                 108,            0.016255,           0.0037572,           0.0031561,             0.99726,             0.99861,             0.99431,             0.91252,           0.0076823,           0.0052426,           0.0029586,            0.008245,            0.008245,            0.008245
                 109,             0.01609,           0.0037387,           0.0030703,              0.9974,             0.99883,             0.99431,             0.91449,           0.0076373,            0.005212,           0.0029184,           0.0082301,           0.0082301,           0.0082301
                 110,            0.015847,           0.0037324,           0.0030813,             0.99739,             0.99874,             0.99432,             0.91686,           0.0075305,           0.0051974,           0.0029423,           0.0082152,           0.0082152,           0.0082152
                 111,            0.015831,           0.0036736,           0.0030096,             0.99727,             0.99885,             0.99432,               0.916,           0.0075288,            0.005185,           0.0029185,           0.0082003,           0.0082003,           0.0082003
                 112,            0.015569,           0.0036966,           0.0029742,             0.99736,             0.99885,             0.99432,             0.91859,           0.0074249,           0.0051491,           0.0028899,           0.0081853,           0.0081853,           0.0081853
                 113,            0.015678,           0.0036943,           0.0029571,             0.99752,             0.99882,             0.99432,             0.91982,           0.0073901,           0.0051305,           0.0028596,           0.0081704,           0.0081704,           0.0081704
                 114,            0.015695,           0.0037287,           0.0029763,             0.99759,             0.99885,             0.99432,             0.92103,           0.0072928,           0.0051072,           0.0028628,           0.0081555,           0.0081555,           0.0081555
                 115,            0.015457,           0.0036736,           0.0029544,             0.99755,             0.99886,             0.99431,             0.92327,           0.0072729,           0.0050844,           0.0028524,           0.0081406,           0.0081406,           0.0081406
                 116,            0.015684,           0.0036762,           0.0029193,             0.99745,             0.99882,             0.99431,             0.92401,           0.0072032,            0.005048,           0.0028314,           0.0081257,           0.0081257,           0.0081257
                 117,            0.015549,           0.0037312,           0.0031064,             0.99734,             0.99886,             0.99431,             0.92466,           0.0072016,           0.0050503,           0.0028125,           0.0081108,           0.0081108,           0.0081108
                 118,            0.015702,           0.0038478,           0.0029455,             0.99748,             0.99886,             0.99431,             0.92335,            0.007253,           0.0050957,           0.0027745,           0.0080959,           0.0080959,           0.0080959
                 119,            0.015733,           0.0037484,           0.0029176,             0.99746,             0.99886,             0.99431,             0.92358,           0.0072706,           0.0051008,           0.0027643,            0.008081,            0.008081,            0.008081
                 120,            0.015593,           0.0036753,           0.0029263,             0.99737,             0.99882,              0.9943,             0.92607,           0.0072407,           0.0050803,           0.0027708,           0.0080661,           0.0080661,           0.0080661
                 121,            0.015758,           0.0036535,           0.0029023,             0.99735,             0.99882,              0.9943,             0.92478,           0.0072473,           0.0050484,           0.0027794,           0.0080512,           0.0080512,           0.0080512
                 122,            0.015334,           0.0037248,           0.0029821,              0.9972,              0.9988,              0.9943,             0.92696,           0.0072101,           0.0050432,           0.0027638,           0.0080363,           0.0080363,           0.0080363
                 123,            0.015579,            0.003775,           0.0030396,             0.99722,             0.99882,             0.99431,             0.92475,           0.0072179,           0.0050719,           0.0027358,           0.0080214,           0.0080214,           0.0080214
                 124,            0.015647,           0.0038034,           0.0031834,             0.99735,             0.99882,             0.99431,             0.92323,           0.0072189,           0.0050981,           0.0027056,           0.0080065,           0.0080065,           0.0080065
                 125,            0.015777,           0.0038478,            0.002928,             0.99737,             0.99882,             0.99431,             0.92236,           0.0072814,           0.0051375,           0.0026954,           0.0079916,           0.0079916,           0.0079916
                 126,            0.015649,           0.0037285,           0.0028198,             0.99738,             0.99882,             0.99431,             0.92192,           0.0072894,           0.0051373,           0.0026916,           0.0079767,           0.0079767,           0.0079767
                 127,            0.015326,           0.0036729,           0.0028576,             0.99732,             0.99882,             0.99431,             0.92366,           0.0071951,           0.0050842,           0.0027049,           0.0079617,           0.0079617,           0.0079617
                 128,             0.01577,           0.0036704,           0.0028957,             0.99739,             0.99876,              0.9943,             0.92473,           0.0071562,           0.0050531,           0.0027196,           0.0079468,           0.0079468,           0.0079468
                 129,            0.015258,           0.0036531,           0.0028407,             0.99758,             0.99882,              0.9943,             0.92625,           0.0071007,           0.0050252,           0.0027243,           0.0079319,           0.0079319,           0.0079319
                 130,            0.015275,           0.0036226,           0.0027828,             0.99748,             0.99882,              0.9943,             0.92733,           0.0070427,           0.0049878,           0.0026995,            0.007917,            0.007917,            0.007917
                 131,            0.015015,           0.0036672,           0.0027669,             0.99762,             0.99882,              0.9943,              0.9293,           0.0069824,           0.0049557,           0.0026777,           0.0079021,           0.0079021,           0.0079021
                 132,            0.015349,           0.0037692,            0.002928,             0.99757,             0.99865,              0.9943,             0.92906,           0.0069746,           0.0049734,           0.0026584,           0.0078872,           0.0078872,           0.0078872
                 133,            0.015364,           0.0037322,           0.0029305,             0.99754,              0.9986,              0.9943,             0.92873,           0.0069495,           0.0049727,            0.002641,           0.0078723,           0.0078723,           0.0078723
                 134,            0.015536,           0.0037136,           0.0028511,             0.99757,             0.99863,              0.9943,             0.92785,           0.0069737,           0.0049843,           0.0026316,           0.0078574,           0.0078574,           0.0078574
                 135,            0.015296,           0.0037081,           0.0028472,             0.99761,             0.99859,              0.9943,             0.92855,           0.0069388,            0.004969,           0.0026286,           0.0078425,           0.0078425,           0.0078425
                 136,            0.015286,           0.0037075,           0.0028045,             0.99762,              0.9985,              0.9943,             0.92898,           0.0069418,           0.0049654,           0.0026121,           0.0078276,           0.0078276,           0.0078276
                 137,            0.015175,           0.0036771,           0.0027264,             0.99758,             0.99852,              0.9943,             0.92947,           0.0069113,           0.0049462,           0.0026003,           0.0078127,           0.0078127,           0.0078127
                 138,            0.015148,           0.0036321,            0.002826,             0.99751,             0.99856,              0.9943,             0.92957,           0.0068671,           0.0049279,            0.002597,           0.0077978,           0.0077978,           0.0077978
                 139,            0.014973,           0.0036406,            0.002699,             0.99749,             0.99853,              0.9943,             0.92947,           0.0068307,           0.0048985,           0.0025896,           0.0077829,           0.0077829,           0.0077829
                 140,            0.015051,           0.0035478,            0.002725,             0.99744,             0.99877,             0.99429,             0.93108,           0.0067817,           0.0048739,           0.0025907,            0.007768,            0.007768,            0.007768
                 141,            0.014983,           0.0035904,           0.0027102,             0.99739,             0.99884,             0.99429,             0.93115,           0.0067406,           0.0048563,           0.0025909,           0.0077531,           0.0077531,           0.0077531
                 142,            0.015124,           0.0035101,           0.0027286,             0.99744,             0.99883,              0.9943,             0.93218,            0.006715,           0.0048359,           0.0025909,           0.0077381,           0.0077381,           0.0077381
                 143,            0.014751,           0.0035537,           0.0027202,             0.99739,             0.99884,              0.9943,             0.93262,            0.006691,           0.0048225,           0.0025997,           0.0077232,           0.0077232,           0.0077232
                 144,            0.015032,           0.0035581,           0.0027389,             0.99743,             0.99886,             0.99431,             0.93423,           0.0066558,           0.0048019,           0.0026006,           0.0077083,           0.0077083,           0.0077083
                 145,            0.014673,           0.0035163,           0.0026864,             0.99753,             0.99885,             0.99431,             0.93449,           0.0066029,           0.0047731,           0.0025976,           0.0076934,           0.0076934,           0.0076934
                 146,            0.014959,           0.0035233,            0.002685,             0.99754,             0.99885,             0.99431,             0.93567,           0.0065462,           0.0047483,           0.0025928,           0.0076785,           0.0076785,           0.0076785
                 147,            0.014703,           0.0035391,           0.0026906,              0.9975,             0.99886,             0.99432,             0.93701,           0.0065034,           0.0047262,           0.0025867,           0.0076636,           0.0076636,           0.0076636
                 148,            0.014821,           0.0035226,           0.0026849,             0.99742,             0.99886,             0.99432,             0.93725,           0.0064791,           0.0047117,           0.0025833,           0.0076487,           0.0076487,           0.0076487
                 149,            0.014771,           0.0035187,           0.0026857,             0.99742,             0.99868,             0.99432,             0.93705,           0.0064467,           0.0046972,           0.0025802,           0.0076338,           0.0076338,           0.0076338
                 150,            0.014895,           0.0035253,           0.0027269,             0.99744,             0.99865,             0.99432,             0.93797,           0.0064089,           0.0046752,           0.0025857,           0.0076189,           0.0076189,           0.0076189
